rcv		112.26		D		5951		50		1
snd		112.29		A		1		0		5651
rcv		112.30		D		6001		50		1
snd		112.32		A		1		0		5651
rcv		112.34		D		6051		50		1
snd		112.36		A		1		0		5651
rcv		112.38		D		6101		50		1
snd		112.39		A		1		0		5651
rcv		115.54		D		5651		50		1
snd		116.18		A		1		0		5701
rcv		116.21		D		5701		50		1
snd		116.73		A		1		0		5751
rcv		116.75		D		5751		50		1
snd		117.24		A		1		0		5801
rcv		117.26		D		5801		50		1
snd		117.72		A		1		0		5851
rcv		117.73		D		5851		50		1
snd		118.18		A		1		0		5901
rcv		118.20		D		5901		50		1
snd		118.63		A		1		0		5951
rcv		118.66		D		5951		50		1
snd		119.18		A		1		0		6001
rcv		119.22		D		6001		50		1
snd		119.75		A		1		0		6051
rcv		119.77		D		6051		50		1
snd		120.24		A		1		0		6101
rcv		120.26		D		6101		50		1
snd		120.76		A		1		0		6151
rcv		121.07		D		6151		50		1
snd		121.69		A		1		0		6201
rcv		121.73		D		6201		50		1
snd		122.25		A		1		0		6251
rcv		122.27		D		6251		50		1
snd		122.71		A		1		0		6301
rcv		122.73		D		6351		50		1
snd		122.75		A		1		0		6301
rcv		122.76		D		6401		50		1
snd		122.78		A		1		0		6301
rcv		122.79		D		6451		50		1
snd		122.80		A		1		0		6301
rcv		122.82		D		6501		50		1
snd		122.83		A		1		0		6301
rcv		122.85		D		6551		50		1
snd		122.86		A		1		0		6301
rcv		122.88		D		6601		50		1
snd		122.89		A		1		0		6301
rcv		125.99		D		6301		50		1
snd		126.50		A		1		0		6351
rcv		126.52		D		6351		50		1
snd		127.00		A		1		0		6401
rcv		127.02		D		6401		50		1
snd		127.51		A		1		0		6451
rcv		127.52		D		6451		50		1
snd		128.00		A		1		0		6501
rcv		128.02		D		6501		50		1
snd		128.53		A		1		0		6551
rcv		128.56		D		6601		50		1
snd		128.57		A		1		0		6551
rcv		128.59		D		6651		50		1
snd		128.61		A		1		0		6551
rcv		128.62		D		6701		50		1
snd		128.64		A		1		0		6551
rcv		128.66		D		6751		50		1
snd		128.67		A		1		0		6551
rcv		131.82		D		6551		50		1
snd		132.37		A		1		0		6601
rcv		132.41		D		6601		50		1
snd		132.93		A		1		0		6651
rcv		132.96		D		6651		50		1
snd		133.45		A		1		0		6701
rcv		133.47		D		6701		50		1
snd		133.94		A		1		0		6751
rcv		133.96		D		6751		50		1
snd		134.41		A		1		0		6801
rcv		134.43		D		6801		50		1
snd		134.92		A		1		0		6851
rcv		134.94		D		6851		50		1
snd		135.41		A		1		0		6901
rcv		135.44		D		6901		50		1
snd		135.91		A		1		0		6951
rcv		135.93		D		6951		50		1
snd		136.41		A		1		0		7001
rcv		136.46		D		7001		50		1
snd		136.94		A		1		0		7051
rcv		137.06		D		7051		50		1
snd		137.54		A		1		0		7101
rcv		137.58		D		7151		50		1
snd		137.60		A		1		0		7101
rcv		137.62		D		7251		50		1
snd		137.64		A		1		0		7101
rcv		137.66		D		7301		50		1
snd		137.68		A		1		0		7101
rcv		137.70		D		7351		50		1
snd		137.73		A		1		0		7101
rcv		137.75		D		7401		50		1
snd		137.77		A		1		0		7101
rcv		137.79		D		7451		50		1
snd		137.81		A		1		0		7101
rcv		137.83		D		7501		50		1
snd		137.85		A		1		0		7101
rcv		140.97		D		7101		50		1
snd		141.48		A		1		0		7151
rcv		141.50		D		7151		50		1
snd		142.01		A		1		0		7201
rcv		142.04		D		7201		50		1
snd		142.50		A		1		0		7251
rcv		142.53		D		7301		50		1
snd		142.55		A		1		0		7251
rcv		142.56		D		7351		50		1
snd		142.59		A		1		0		7251
rcv		142.61		D		7401		50		1
snd		142.62		A		1		0		7251
rcv		142.64		D		7451		50		1
snd		142.65		A		1		0		7251
rcv		142.67		D		7501		50		1
snd		142.68		A		1		0		7251
rcv		142.70		D		7551		50		1
snd		142.72		A		1		0		7251
rcv		145.82		D		7251		50		1
snd		146.35		A		1		0		7301
rcv		146.37		D		7301		50		1
snd		146.91		A		1		0		7351
rcv		146.98		D		7351		50		1
snd		147.48		A		1		0		7401
rcv		147.52		D		7401		50		1
snd		147.99		A		1		0		7451
rcv		148.03		D		7451		50		1
snd		148.50		A		1		0		7501
rcv		148.54		D		7501		50		1
snd		149.07		A		1		0		7551
rcv		149.11		D		7551		50		1
snd		149.56		A		1		0		7601
rcv		149.60		D		7601		50		1
snd		150.06		A		1		0		7651
rcv		150.08		D		7651		50		1
snd		150.54		A		1		0		7701
rcv		150.56		D		7701		50		1
snd		151.00		A		1		0		7751
rcv		151.10		D		7751		50		1
snd		151.57		A		1		0		7801
rcv		151.60		D		7801		50		1
snd		152.01		A		1		0		7851
rcv		152.05		D		7851		50		1
snd		152.47		A		1		0		7901
rcv		152.50		D		7901		50		1
snd		152.98		A		1		0		7951
rcv		153.02		D		7951		50		1
snd		153.47		A		1		0		8001
rcv		153.49		D		8001		50		1
snd		153.94		A		1		0		8051
rcv		153.98		D		8101		50		1
snd		154.00		A		1		0		8051
rcv		154.01		D		8151		50		1
snd		154.03		A		1		0		8051
rcv		154.06		D		8201		50		1
snd		154.07		A		1		0		8051
rcv		157.46		D		8051		50		1
snd		158.02		A		1		0		8101
rcv		158.04		D		8101		50		1
snd		158.44		A		1		0		8151
rcv		158.46		D		8151		50		1
snd		159.43		A		1		0		8201
rcv		159.44		D		8201		50		1
snd		159.90		A		1		0		8251
rcv		159.92		D		8251		50		1
snd		160.38		A		1		0		8301
rcv		160.39		D		8301		50		1
snd		160.80		A		1		0		8351
rcv		160.81		D		8351		50		1
snd		161.19		A		1		0		8401
rcv		161.21		D		8401		50		1
snd		161.62		A		1		0		8451
rcv		161.64		D		8451		50		1
snd		162.07		A		1		0		8501
rcv		162.09		D		8501		50		1
snd		162.49		A		1		0		8551
rcv		162.54		D		8551		50		1
snd		163.01		A		1		0		8601
rcv		163.03		D		8651		50		1
snd		163.04		A		1		0		8601
rcv		163.04		D		8701		50		1
snd		163.05		A		1		0		8601
rcv		163.06		D		8751		50		1
snd		163.07		A		1		0		8601
rcv		163.08		D		8801		50		1
snd		163.08		A		1		0		8601
rcv		163.09		D		8851		50		1
snd		163.10		A		1		0		8601
rcv		163.11		D		8901		50		1
snd		163.12		A		1		0		8601
rcv		163.12		D		9001		50		1
snd		163.13		A		1		0		8601
rcv		166.25		D		8651		50		1
snd		166.26		A		1		0		8601
rcv		166.27		D		8701		50		1
snd		166.28		A		1		0		8601
rcv		166.29		D		8751		50		1
snd		166.30		A		1		0		8601
rcv		166.30		D		8801		50		1
snd		166.31		A		1		0		8601
rcv		166.32		D		8851		50		1
snd		166.32		A		1		0		8601
rcv		166.33		D		8951		50		1
snd		166.34		A		1		0		8601
rcv		166.37		D		9001		50		1
snd		166.38		A		1		0		8601
rcv		166.38		D		9051		50		1
snd		166.39		A		1		0		8601
rcv		169.65		D		8601		50		1
snd		170.17		A		1		0		8651
rcv		170.20		D		8651		50		1
snd		170.73		A		1		0		8701
rcv		170.75		D		8701		50		1
snd		171.41		A		1		0		8751
rcv		171.44		D		8751		50		1
snd		171.95		A		1		0		8801
rcv		171.97		D		8801		50		1
snd		172.44		A		1		0		8851
rcv		172.46		D		8851		50		1
snd		172.91		A		1		0		8901
rcv		172.93		D		8901		50		1
snd		173.40		A		1		0		8951
rcv		173.42		D		8951		50		1
snd		173.86		A		1		0		9001
rcv		173.87		D		9001		50		1
snd		174.32		A		1		0		9051
rcv		174.33		D		9051		50		1
snd		174.81		A		1		0		9101
rcv		174.88		D		9101		50		1
snd		175.33		A		1		0		9151
rcv		175.35		D		9151		50		1
snd		175.77		A		1		0		9201
rcv		175.78		D		9201		50		1
snd		176.13		A		1		0		9251
rcv		176.14		D		9251		50		1
snd		176.51		A		1		0		9301
rcv		176.53		D		9301		50		1
snd		176.89		A		1		0		9351
rcv		176.90		D		9351		50		1
snd		177.26		A		1		0		9401
rcv		177.28		D		9401		50		1
snd		177.67		A		1		0		9451
rcv		177.69		D		9451		50		1
snd		178.06		A		1		0		9501
rcv		178.07		D		9501		50		1
snd		178.47		A		1		0		9551
rcv		178.48		D		9551		50		1
snd		178.92		A		1		0		9601
rcv		178.97		D		9601		50		1
snd		179.38		A		1		0		9651
rcv		179.40		D		9701		50		1
snd		179.41		A		1		0		9651
rcv		179.41		D		9751		50		1
snd		179.42		A		1		0		9651
rcv		179.43		D		9801		50		1
snd		179.44		A		1		0		9651
rcv		179.44		D		9851		50		1
snd		179.45		A		1		0		9651
rcv		179.46		D		9901		50		1
snd		179.46		A		1		0		9651
rcv		179.47		D		9951		50		1
snd		179.48		A		1		0		9651
rcv		179.49		D		10001		50		1
snd		179.49		A		1		0		9651
rcv		179.50		D		10051		50		1
snd		179.51		A		1		0		9651
rcv		182.63		D		9651		50		1
snd		183.09		A		1		0		9701
rcv		183.10		D		9701		50		1
snd		183.49		A		1		0		9751
rcv		183.51		D		9751		50		1
snd		183.94		A		1		0		9801
rcv		183.96		D		9801		50		1
snd		184.40		A		1		0		9851
rcv		184.42		D		9851		50		1
snd		184.85		A		1		0		9901
rcv		184.86		D		9901		50		1
snd		185.35		A		1		0		9951
rcv		185.36		D		9951		50		1
snd		185.78		A		1		0		10001
rcv		185.80		D		10001		50		1
snd		186.29		A		1		0		10051
rcv		186.31		D		10051		50		1
snd		186.86		A		1		0		10101
rcv		190.05		D		10151		50		1
snd		190.08		A		1		0		10101
rcv		190.10		D		10201		50		1
snd		190.12		A		1		0		10101
rcv		190.14		D		10251		50		1
snd		190.15		A		1		0		10101
rcv		190.17		D		10351		50		1
snd		190.18		A		1		0		10101
rcv		190.20		D		10401		50		1
snd		190.21		A		1		0		10101
rcv		190.24		D		10451		50		1
snd		190.25		A		1		0		10101
rcv		190.27		D		10501		50		1
snd		190.28		A		1		0		10101
rcv		190.30		D		10551		50		1
snd		190.31		A		1		0		10101
rcv		193.44		D		10101		50		1
snd		194.08		A		1		0		10151
rcv		194.11		D		10151		50		1
snd		194.57		A		1		0		10201
rcv		194.59		D		10201		50		1
snd		195.11		A		1		0		10251
rcv		195.13		D		10251		50		1
snd		195.60		A		1		0		10301
rcv		195.64		D		10301		50		1
snd		196.08		A		1		0		10351
rcv		196.11		D		10351		50		1
snd		196.54		A		1		0		10401
rcv		196.56		D		10401		50		1
snd		196.96		A		1		0		10451
rcv		196.99		D		10501		50		1
snd		197.00		A		1		0		10451
rcv		197.02		D		10551		50		1
snd		197.04		A		1		0		10451
rcv		200.21		D		10451		50		1
snd		200.75		A		1		0		10501
rcv		200.78		D		10501		50		1
snd		201.22		A		1		0		10551
rcv		201.24		D		10551		50		1
snd		201.66		A		1		0		10601
rcv		201.69		D		10601		50		1
snd		202.09		A		1		0		10651
rcv		202.12		D		10651		50		1
snd		202.53		A		1		0		10701
rcv		202.55		D		10751		50		1
snd		202.56		A		1		0		10701
rcv		202.57		D		10801		50		1
snd		202.58		A		1		0		10701
rcv		202.59		D		10851		50		1
snd		202.59		A		1		0		10701
rcv		202.61		D		10901		50		1
snd		202.63		A		1		0		10701
rcv		205.74		D		10701		50		1
snd		206.27		A		1		0		10751
rcv		206.29		D		10751		50		1
snd		206.73		A		1		0		10801
rcv		206.75		D		10801		50		1
snd		207.17		A		1		0		10851
rcv		207.19		D		10851		50		1
snd		207.70		A		1		0		10901
rcv		207.73		D		10901		50		1
snd		208.17		A		1		0		10951
rcv		208.19		D		10951		50		1
snd		208.61		A		1		0		11001
rcv		208.63		D		11001		50		1
snd		209.05		A		1		0		11051
rcv		209.07		D		11051		50		1
snd		209.49		A		1		0		11101
rcv		209.51		D		11101		50		1
snd		209.93		A		1		0		11151
rcv		209.95		D		11151		50		1
snd		210.38		A		1		0		11201
rcv		210.44		D		11201		50		1
snd		210.93		A		1		0		11251
rcv		210.96		D		11251		50		1
snd		211.42		A		1		0		11301
rcv		211.45		D		11301		50		1
snd		211.88		A		1		0		11351
rcv		211.90		D		11401		50		1
snd		211.92		A		1		0		11351
rcv		211.94		D		11451		50		1
snd		211.95		A		1		0		11351
rcv		211.97		D		11501		50		1
snd		211.98		A		1		0		11351
rcv		212.00		D		11551		50		1
snd		212.01		A		1		0		11351
rcv		212.02		D		11601		50		1
snd		212.03		A		1		0		11351
rcv		212.05		D		11651		50		1
snd		212.06		A		1		0		11351
rcv		215.18		D		11351		50		1
snd		215.80		A		1		0		11401
rcv		215.84		D		11401		50		1
snd		216.27		A		1		0		11451
rcv		216.31		D		11451		50		1
snd		216.72		A		1		0		11501
rcv		216.77		D		11551		50		1
snd		216.79		A		1		0		11501
rcv		216.80		D		11601		50		1
snd		216.82		A		1		0		11501
rcv		216.85		D		11701		50		1
snd		216.87		A		1		0		11501
rcv		216.88		D		11751		50		1
snd		216.90		A		1		0		11501
rcv		216.91		D		11801		50		1
snd		216.93		A		1		0		11501
rcv		220.09		D		11501		50		1
snd		220.71		A		1		0		11551
rcv		220.74		D		11551		50		1
snd		221.24		A		1		0		11601
rcv		221.26		D		11601		50		1
snd		221.79		A		1		0		11651
rcv		221.81		D		11651		50		1
snd		222.25		A		1		0		11701
rcv		222.27		D		11701		50		1
snd		222.72		A		1		0		11751
rcv		222.75		D		11751		50		1
snd		223.24		A		1		0		11801
rcv		223.27		D		11801		50		1
snd		223.76		A		1		0		11851
rcv		223.80		D		11851		50		1
snd		224.27		A		1		0		11901
rcv		224.29		D		11901		50		1
snd		224.73		A		1		0		11951
rcv		224.75		D		11951		50		1
snd		225.21		A		1		0		12001
rcv		225.31		D		12001		50		1
snd		225.75		A		1		0		12051
rcv		225.79		D		12051		50		1
snd		226.24		A		1		0		12101
rcv		226.30		D		12101		50		1
snd		226.72		A		1		0		12151
rcv		226.74		D		12151		50		1
snd		227.18		A		1		0		12201
rcv		227.23		D		12201		50		1
snd		227.72		A		1		0		12251
rcv		227.76		D		12251		50		1
snd		228.73		A		1		0		12301
rcv		228.75		D		12301		50		1
snd		229.20		A		1		0		12351
rcv		229.25		D		12351		50		1
snd		229.69		A		1		0		12401
rcv		229.73		D		12401		50		1
snd		230.15		A		1		0		12451
rcv		230.20		D		12451		50		1
snd		230.59		A		1		0		12501
rcv		230.64		D		12501		50		1
snd		231.01		A		1		0		12551
rcv		231.03		D		12551		50		1
snd		231.43		A		1		0		12601
rcv		231.45		D		12601		50		1
snd		231.89		A		1		0		12651
rcv		231.91		D		12651		50		1
snd		232.32		A		1		0		12701
rcv		232.34		D		12701		50		1
snd		232.77		A		1		0		12751
rcv		232.79		D		12751		50		1
snd		233.16		A		1		0		12801
rcv		233.20		D		12801		50		1
